name,slug,excerpt,overview,country,continent,state,city,full_location,zipcode,full_address,institution_type,campus_setting,contact_email,contact_phone,website,founded_year,campus_size,is_popular,is_featured,seo_title,seo_description,degree_levels,majors,study_formats
HKUST School of Engineering,hkust-eng,Engineering school at HKUST.,HKUST School of Engineering offers BSc and MSc engineering programs.,HK,Asia,,Hong Kong,"Hong Kong, HK",999077,Clear Water Bay,Public,Suburban,seng@ust.hk,+852-2358-8000,https://seng.hkust.edu.hk,1991,150 acres,false,false,HKUST School of Engineering,"HKUST School of Engineering is a public suburban college in Hong Kong, HK.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
National University of Singapore Faculty,nus-fos,Faculty of Science at NUS.,NUS Faculty of Science offers undergraduate and graduate programs in sciences.,SG,Asia,,Singapore,"Singapore, SG",117543,21 Lower Kent Ridge Road,Public,Urban,science@nus.edu.sg,+65-6516-6666,https://www.science.nus.edu.sg,1905,1500 acres,true,true,NUS Faculty of Science,"NUS Faculty of Science is a public urban college in Singapore, SG.",Bachelor's|Master's|Doctorate,Engineering|Biology|Biology,100% In-Person
Australian National University College,anu-college,ANU College at the Australian National University.,ANU College offers pathway and preparatory programs.,AU,Oceania,,Canberra,"Canberra, AU",2600,104 Balmain Crescent Acton,Public,Suburban,anu.college@anu.edu.au,+61-2-6125-5555,https://www.anu.edu.au/students/apply/anu-college,2006,145 acres,false,false,ANU College,"ANU College is a public suburban college in Canberra, AU.",Bachelor's,Engineering|Economics,100% In-Person
University of Melbourne Faculty,unimelb-faculty,Faculty of Arts at the University of Melbourne.,Melbourne Faculty of Arts offers graduate arts programs.,AU,Oceania,,Melbourne,"Melbourne, AU",3010,Building 148 University of Melbourne,Public,Urban,arts-grad@ unimelb.edu.au,+61-3-9035-5511,https://arts.unimelb.edu.au,1853,173 acres,false,false,University of Melbourne Faculty of Arts,"Melbourne Faculty of Arts is a public urban college in Melbourne, AU.",Bachelor's|Master's|Doctorate,Economics|Art & Design|Economics,100% In-Person
University of Sydney Business School,sydney-business,Business school of the University of Sydney.,Sydney Business School offers MBA and graduate business programs.,AU,Oceania,,Sydney,"Sydney, AU",2006,Abercrombie Business School Building H70,Public,Urban,admissions.business@sydney.edu.au,+61-2-8627-4400,https://www.sydney.edu.au/business/,1920,290 acres,true,true,University of Sydney Business School,"Sydney Business School is a public urban college in Sydney, AU.",Master's,Business|Economics,100% In-Person|Hybrid / Blended
University of Toronto Faculty of Arts,uoft-arts,Faculty of Arts and Science at UofT.,UofT Faculty of Arts and Science offers undergraduate and graduate arts programs.,CA,North America,ON,Toronto,"Toronto, CA",M5S 1A1,100 St George Street,Public,Urban,ask@artsci.utoronto.ca,+1-416-978-2011,https://www.artsci.utoronto.ca,1827,265 acres,false,false,University of Toronto Faculty of Arts,"UofT Faculty of Arts is a public urban college in Toronto, CA.",Bachelor's|Master's|Doctorate,Economics|Art & Design|Economics,100% In-Person
McGill University Faculty of Medicine,mcgill-med,Faculty of Medicine at McGill.,McGill Faculty of Medicine offers MD and graduate medical programs.,CA,North America,QC,Montreal,"Montreal, CA",H3G 1Y6,3655 Promenade Sir William Osler,Public,Urban,med-admissions@mcgill.ca,+1-514-398-3515,https://www.mcgill.ca/medicine/,1829,79 acres,true,true,McGill Faculty of Medicine,"McGill Faculty of Medicine is a public urban college in Montreal, CA.",Master's|Doctorate,Medicine|Biology,100% In-Person
University of British Columbia Faculty,ubc-arts,Faculty of Arts at UBC.,"UBC Faculty of Arts offers BA, MA, and Doctorate programs.",CA,North America,BC,Vancouver,"Vancouver, CA",V6T 1Z1,6333 Memorial Road,Public,Urban,arts.undergrad@ubc.ca,+1-604-822-6221,https://www.arts.ubc.ca,1915,1000 acres,false,false,UBC Faculty of Arts,"UBC Faculty of Arts is a public urban college in Vancouver, CA.",Bachelor's|Master's|Doctorate,Economics|Art & Design|Economics,100% In-Person
University of Auckland Business School,auckland-business,Business school of the University of Auckland.,Auckland Business School offers MBA and graduate business programs.,NZ,Oceania,,Auckland,"Auckland, NZ",1142,12 Grafton Road,Public,Urban,abs@auckland.ac.nz,+64-9-923-3000,https://www.business.auckland.ac.nz,1908,148 acres,false,false,University of Auckland Business School,"Auckland Business School is a public urban college in Auckland, NZ.",Master's,Business|Economics,100% In-Person|Hybrid / Blended
University of Cape Town Faculty,uct-fhs,Faculty of Health Sciences at UCT.,UCT Faculty of Health Sciences offers MBChB and graduate medical programs.,ZA,Africa,,Cape Town,"Cape Town, ZA",7700,Anzio Road Observatory,Public,Suburban,fhs@uct.ac.za,+27-21-406-6300,https://www.health.uct.ac.za,1918,155 acres,true,true,UCT Faculty of Health Sciences,"UCT Faculty of Health Sciences is a public suburban college in Cape Town, ZA.",Master's|Doctorate,Medicine|Biology,100% In-Person
University of Witwatersrand Faculty,wits-med,Faculty of Health Sciences at Wits.,Wits Faculty of Health Sciences offers medical programs in Johannesburg.,ZA,Africa,,Johannesburg,"Johannesburg, ZA",2000,7 York Road Parktown,Public,Urban,info@wits.ac.za,+27-11-717-1000,https://www.wits.ac.za/health,1921,155 acres,false,false,Wits Faculty of Health Sciences,"Wits Faculty of Health Sciences is a public urban college in Johannesburg, ZA.",Master's|Doctorate,Medicine|Biology,100% In-Person
American University in Cairo School,auc-school,School of Business at the American University in Cairo.,AUC School of Business offers MBA and graduate business programs.,EG,Africa,,Cairo,"Cairo, EG",11835,AUC Avenue New Cairo,Private,Suburban,business@aucegypt.edu,+20-2-2615-1000,https://www.aucegypt.edu/academics/business,2002,260 acres,true,false,American University in Cairo School of Business,"AUC School of Business is a private suburban college in Cairo, EG.",Master's,Business|Economics,100% In-Person|Hybrid / Blended
Universidad de Buenos Aires Faculty,uba-fce,Faculty of Economic Sciences at UBA.,UBA Faculty of Economic Sciences offers undergraduate and graduate economics programs.,AR,South America,,Buenos Aires,"Buenos Aires, AR",C1053AAA,Av. Córdoba 2122,Public,Urban,fce@economicas.uba.ar,+54-11-5285-5500,https://www.economicas.uba.ar,1913,21 acres,false,false,UBA Faculty of Economic Sciences,"UBA Faculty of Economic Sciences is a public urban college in Buenos Aires, AR.",Bachelor's|Master's|Doctorate,Economics|Business,100% In-Person
Pontificia Universidad Catolica Chile,puc-faculty,Faculty of Engineering at PUC Chile.,PUC Faculty of Engineering offers undergraduate and graduate engineering programs.,CL,South America,,Santiago,"Santiago, CL",7820436,Av. Vicuña Mackenna 4860 Macul,Private,Urban,ingenieria@ing.puc.cl,+56-2-2354-4000,https://www.ing.puc.cl,1888,160 acres,true,true,Pontificia Universidad Catolica Chile Faculty of Engineering,"PUC Faculty of Engineering is a private urban college in Santiago, CL.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
University of Sao Paulo Faculty,usp-poliusp,Polytechnic School at USP.,USP Polytechnic School offers engineering programs at the University of Sao Paulo.,BR,South America,,Sao Paulo,"Sao Paulo, BR",05508-010,Av. Prof. Luciano Gualberto 158 Travessa 3,Public,Urban,poli@usp.br,+55-11-3091-5500,https://www.poli.usp.br,1893,7 acres,false,false,USP Polytechnic School,"USP Polytechnic School is a public urban college in Sao Paulo, BR.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
Tecnologico de Monterrey School,tec-mty,School of Engineering at Tec de Monterrey.,Tec School of Engineering offers undergraduate and graduate engineering programs.,MX,North America,,Monterrey,"Monterrey, MX",64849,Av. Eugenio Garza Sada 2501 Sur,Private,Suburban,admisiones@itesm.mx,+52-81-8358-2000,https://www.tec.mx/en,1943,226 acres,true,true,Tecnologico de Monterrey School of Engineering,"Tec School of Engineering is a private suburban college in Monterrey, MX.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
ITAM Department of Business,itam-business,Department of Business at ITAM.,ITAM Department of Business offers undergraduate and graduate business programs.,MX,North America,,Mexico City,"Mexico City, MX",01080,Av. Camino Santa Teresa 930,Private,Urban,admisiones@itam.mx,+52-55-5628-4000,https://www.itam.mx/en,1946,11 acres,false,false,ITAM Department of Business,"ITAM Department of Business is a private urban college in Mexico City, MX.",Bachelor's|Master's,Business|Economics,100% In-Person|Hybrid / Blended
University of Cape Coast Faculty,ucc-faculty,Faculty of Science at the University of Cape Coast.,UCC Faculty of Science offers BSc and graduate science programs.,GH,Africa,,Cape Coast,"Cape Coast, GH",,University Avenue,Public,Suburban,registrar@ucc.edu.gh,+233-42-232-3232,https://www.ucc.edu.gh,1962,16 acres,false,false,University of Cape Coast Faculty of Science,"UCC Faculty of Science is a public suburban college in Cape Coast, GH.",Bachelor's|Master's,Engineering|Biology,100% In-Person
University of Nairobi Faculty,uon-med,Faculty of Health Sciences at UoN.,UoN Faculty of Health Sciences offers medical programs in Nairobi.,KE,Africa,,Nairobi,"Nairobi, KE",30197,University Way,Public,Urban,health-sciences@uonbi.ac.ke,+254-20-318-262,https://health.uonbi.ac.ke,1962,280 acres,false,false,University of Nairobi Faculty of Health Sciences,"UoN Faculty of Health Sciences is a public urban college in Nairobi, KE.",Bachelor's|Master's,Medicine|Biology,100% In-Person
University of Lagos Faculty,unilag-sci,Faculty of Science at UNILAG.,UNILAG Faculty of Science offers BSc and graduate science programs.,NG,Africa,,Lagos,"Lagos, NG",100213,University Road Akoka Yaba,Public,Urban,registrar@unilag.edu.ng,+234-1-545-1010,https://www.unilag.edu.ng,1962,802 acres,false,false,University of Lagos Faculty of Science,"UNILAG Faculty of Science is a public urban college in Lagos, NG.",Bachelor's|Master's,Engineering|Biology,100% In-Person
University of Edinburgh Business School,edinburgh-business,Business school of the University of Edinburgh.,Edinburgh Business School offers MBA and graduate business programs.,UK,Europe,,Edinburgh,"Edinburgh, UK",EH8 9JS,29 Buccleuch Place,Public,Urban,ebs@ed.ac.uk,+44-131-651-5555,https://www.ebs.ed.ac.uk,1997,350 acres,true,true,University of Edinburgh Business School,"Edinburgh Business School is a public urban college in Edinburgh, UK.",Master's|Doctorate,Business|Economics,100% In-Person|Hybrid / Blended
London School of Hygiene Tropical Medicine,lshtm,Public health school of the University of London.,LSHTM offers MSc and Doctorate programs in public health and tropical medicine.,UK,Europe,,London,"London, UK",WC1E 7HT,Keppel Street,Public,Urban,registry@lshtm.ac.uk,+44-20-7636-8636,https://www.lshtm.ac.uk,1899,7 acres,true,true,London School of Hygiene and Tropical Medicine,"LSHTM is a public urban college in London, UK.",Master's|Doctorate,Medicine|Biology,100% In-Person
University of Manchester Faculty,manchester-engineering,Faculty of Science and Engineering at Manchester.,Manchester Faculty of Science and Engineering offers BSc and MSc engineering programs.,UK,Europe,,Manchester,"Manchester, UK",M13 9PL,Oxford Road,Public,Urban,fse@manchester.ac.uk,+44-161-306-6000,https://www.manchester.ac.uk,1824,1080 acres,false,false,University of Manchester Faculty of Science and Engineering,"Manchester Faculty of Science and Engineering is a public urban college in Manchester, UK.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
University of Bristol Faculty,bristol-faculty,Faculty of Science at the University of Bristol.,Bristol Faculty of Science offers BSc and graduate science programs.,UK,Europe,,Bristol,"Bristol, UK",BS8 1QU,Beacon House Queens Road,Public,Urban,sci-ug-admissions@bristol.ac.uk,+44-117-928-9000,https://www.bristol.ac.uk/science,1876,230 acres,false,false,University of Bristol Faculty of Science,"Bristol Faculty of Science is a public urban college in Bristol, UK.",Bachelor's|Master's|Doctorate,Engineering|Biology,100% In-Person
University of Warwick Business School,warwick-business,Business school of the University of Warwick.,Warwick Business School offers MBA and graduate business programs.,UK,Europe,,Coventry,"Coventry, UK",CV4 7AL,The Shard Scarman Road,Public,Suburban,wbs-admissions@warwick.ac.uk,+44-24-7652-4000,https://www.wbs.ac.uk,1967,620 acres,true,true,University of Warwick Business School,"Warwick Business School is a public suburban college in Coventry, UK.",Master's,Business|Economics,100% In-Person|Hybrid / Blended
University of Glasgow Faculty,glasgow-faculty,Faculty of Science at the University of Glasgow.,Glasgow Faculty of Science offers BSc and graduate science programs.,UK,Europe,,Glasgow,"Glasgow, UK",G12 8QQ,University Avenue,Public,Urban,science-faculty@glasgow.ac.uk,+44-141-330-2000,https://www.gla.ac.uk/schools,1451,650 acres,false,false,University of Glasgow Faculty of Science,"Glasgow Faculty of Science is a public urban college in Glasgow, UK.",Bachelor's|Master's|Doctorate,Engineering|Biology,100% In-Person
University of Sheffield Faculty,sheffield-engineering,Faculty of Engineering at Sheffield.,Sheffield Faculty of Engineering offers BSc and MEng engineering programs.,UK,Europe,,Sheffield,"Sheffield, UK",S10 2TN,Broad Lane,Public,Urban,engineering-admissions@sheffield.ac.uk,+44-114-222-2000,https://www.sheffield.ac.uk/engineering,1828,480 acres,false,false,University of Sheffield Faculty of Engineering,"Sheffield Faculty of Engineering is a public urban college in Sheffield, UK.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
University of Leeds Business School,leeds-business,Business school of the University of Leeds.,Leeds Business School offers BA and graduate business programs.,UK,Europe,,Leeds,"Leeds, UK",LS2 9JT,Maurice Keyworth Building,Public,Urban,leedsbusinessschool@leeds.ac.uk,+44-113-343-0000,https://business.leeds.ac.uk,1874,560 acres,false,false,University of Leeds Business School,"Leeds Business School is a public urban college in Leeds, UK.",Bachelor's|Master's,Business|Economics,100% In-Person|Hybrid / Blended
ETH Zurich Department of Physics,eth-physics-zurich,Department of Physics at ETH Zurich.,ETH Zurich Department of Physics offers BSc and MSc physics programs with strong research focus.,Switzerland,Europe,,Zurich,"Zurich, CH",8093,Ramistrasse 101,Public,Urban,physics@ethz.ch,+41-44-632-1111,https://phys.ethz.ch,1855,414 acres,true,true,ETH Zurich Department of Physics,"ETH Zurich Department of Physics is a public urban college in Zurich, CH.",Bachelor's|Master's|Doctorate,Engineering|Biology,100% In-Person
National University of Singapore Business School,nus-business,NUS Business School in Singapore.,NUS Business School offers BBA and MBA programs with Asia-Pacific emphasis.,Singapore,Asia,,Singapore,"Singapore, SG",119245,15 Kent Ridge Drive,Public,Urban,bizadmis@nus.edu.sg,+65-6516-3733,https://bschool.nus.edu.sg,1905,1500 acres,true,true,NUS Business School,"NUS Business School is a public urban college in Singapore, SG.",Bachelor's|Master's|Doctorate,Business|Economics,100% In-Person|Hybrid / Blended
University of Cape Town Health Sciences,uct-health,Faculty of Health Sciences at UCT.,UCT Health Sciences offers MBChB and graduate clinical programs.,South Africa,Africa,,Cape Town,"Cape Town, ZA",7925,Anzio Road Observatory,Public,Urban,health-sciences@uct.ac.za,+27-21-650-1111,https://health.uct.ac.za,1918,230 acres,false,false,University of Cape Town Health Sciences,"UCT Health Sciences is a public urban college in Cape Town, ZA.",Bachelor's|Master's|Doctorate,Medicine|Nursing|Biology,100% In-Person
Tokyo Institute of Technology Graduate School,tokyo-tech-graduate,Graduate school at Tokyo Tech.,Tokyo Tech Graduate School offers MSc and PhD engineering and science programs.,Japan,Asia,,Tokyo,"Tokyo, JP",152-8550,2-12-1 Ookayama Meguro-ku,Public,Urban,gradinfo@jim.titech.ac.jp,+81-3-5734-2977,https://www.titech.ac.jp/english,1881,310 acres,false,true,Tokyo Institute of Technology Graduate School,"Tokyo Tech Graduate School is a public urban college in Tokyo, JP.",Master's|Doctorate,Engineering|Computer Science,100% In-Person
McGill Faculty of Law,mcgill-law,Faculty of Law at McGill University.,McGill Faculty of Law offers BCL and graduate law programs.,Canada,North America,Quebec,Montreal,"Montreal, CA",H3A 1W7,3644 Peel Street,Public,Urban,law.admissions@mcgill.ca,+1-514-398-6602,https://www.mcgill.ca/law,1848,80 acres,false,false,McGill Faculty of Law,"McGill Faculty of Law is a public urban college in Montreal, CA.",Bachelor's|Master's|Doctorate,Law,100% In-Person|Hybrid / Blended
Sorbonne School of Engineering,sorbonne-engineering,Polytechnic engineering school at Sorbonne.,Sorbonne Engineering offers engineering diplomas and MSc programs.,France,Europe,,Paris,"Paris, FR",75005,4 Place Jussieu,Public,Urban,admissions-polytechnique@sorbonne-universite.fr,+33-1-44-27-3000,https://polytechnique.sorbonne-universite.fr,1794,210 acres,false,false,Sorbonne School of Engineering,"Sorbonne Engineering is a public urban college in Paris, FR.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
University of Melbourne School of Architecture,melbourne-architecture,Melbourne School of Architecture.,Melbourne Architecture offers Bachelor of Design and Master of Architecture programs.,Australia,Oceania,Victoria,Melbourne,"Melbourne, AU",3010,Building 100 Parkville Campus,Public,Urban,architecture@unimelb.edu.au,+61-3-9035-5511,https://msd.unimelb.edu.au/architecture,1853,140 acres,false,false,University of Melbourne School of Architecture,"Melbourne Architecture is a public urban college in Melbourne, AU.",Bachelor's|Master's,Art & Design,100% In-Person|Hybrid / Blended
Peking University School of Life Sciences,pku-life-sciences,School of Life Sciences at Peking University.,PKU Life Sciences offers BSc and PhD biology and biomedical programs.,China,Asia,,Beijing,"Beijing, CN",100871,5 Yiheyuan Road Haidian,Public,Urban,life-sciences@pku.edu.cn,+86-10-6275-1800,https://life.pku.edu.cn,1925,700 acres,true,true,Peking University School of Life Sciences,"PKU Life Sciences is a public urban college in Beijing, CN.",Bachelor's|Master's|Doctorate,Biology|Medicine,100% In-Person
University of Sydney Nursing School,sydney-nursing,Sydney Nursing School.,Sydney Nursing offers Bachelor of Nursing and graduate clinical programs.,Australia,Oceania,New South Wales,Sydney,"Sydney, AU",2006,88 Mallett Street Camperdown,Public,Urban,nursing.admissions@sydney.edu.au,+61-2-9351-0500,https://www.sydney.edu.au/nursing,1850,160 acres,false,false,University of Sydney Nursing School,"Sydney Nursing is a public urban college in Sydney, AU.",Bachelor's|Master's|Doctorate,Nursing|Medicine,100% In-Person|Hybrid / Blended
